id,product_name,shop_name,location,price,discount,amount_sold,rating,no_of_rating,link_product,category,ecommerce_name
613483b08c685a89e2a48847,"SEPATU VANS PRIA SNEAKERS CASUAL VANS MOTIF OLDSKOOL AUTHENTIC - 41","Ezelis Store","Kabupaten Tangerang",65000,0,145,5,68,https://www.tokopedia.com/ezelisstore/sepatu-vans-pria-sneakers-casual-vans-motif-oldskool-authentic-41?whid=0,Authentic,tokopedia
613483b08c685a89e2a48848,"SEPATU PRIA VANS OLDSKOOL OG RAINBOW BIG (SIZE 45-47)",suppliersepatu'bekasi,Bekasi,160000,0,2,5,2,https://www.tokopedia.com/sepatuanakmuda-1/sepatu-pria-vans-oldskool-og-rainbow-big-size-45-47?whid=0,"Old Skool",tokopedia
613483b08c685a89e2a48849,"(BUY 1 GET 1) BNIB VANS OLD SKOOL ORIGINAL CLASSIC/SEPATU VANS/SNEAKER - 35",Goritna,Surabaya,449000,0,19,5,9,https://www.tokopedia.com/goritna/buy-1-get-1-bnib-vans-old-skool-original-classic-sepatu-vans-sneaker-35?whid=0,"Old Skool",tokopedia
613483b08c685a89e2a4884b,"SEPATU VANS SK8 HI HIGH FULL RED ALL RED IMPORT BNIB ORIGINAL PREMIUM",official.ebelshop212,Bandung,310000,0,2,5,2,https://www.tokopedia.com/ebelshop212/sepatu-vans-sk8-hi-high-full-red-all-red-import-bnib-original-premium?whid=0,SK8-Hi,tokopedia
613483b08c685a89e2a4884c,"VANS OLDSKOOL PREMIUM DT / SEPATU COUPLE - Hitam, 44","sagayastore official","Kabupaten Tangerang",129900,0,192,5,99,https://www.tokopedia.com/sagayastore/vans-oldskool-premium-dt-sepatu-couple-hitam-44?whid=0,"Old Skool",tokopedia
613483b08c685a89e2a4884e,"Vans Authentic Full Black | Sepatu pria wanita | Sneaker murah + Box - Hitam, 37",aydinasti,"Jakarta Selatan",145000,0,7,5,4,https://www.tokopedia.com/aydinasti/vans-authentic-full-black-sepatu-pria-wanita-sneaker-murah-box-hitam-37?whid=0,Authentic,tokopedia
613483b08c685a89e2a4884f,"Sepatu Vans Style 36 x Reigning Champ Old Skool Grey BNIB Original PRM - Grey, 42","sneaker official member",Bandung,329000,0,5,5,3,https://www.tokopedia.com/sneakerofficial/sepatu-vans-style-36-x-reigning-champ-old-skool-grey-bnib-original-prm-grey-42?whid=0,"Old Skool",tokopedia
613483b08c685a89e2a48851,"SEPATU UKURAN 44 45 46 47 VANS OLDSCOOL HITAM LIS PUTIH BESAR JUMBO - Hitam, 38",aydinasti,"Jakarta Selatan",145000,0,181,5,99,https://www.tokopedia.com/aydinasti/sepatu-ukuran-44-45-46-47-vans-oldscool-hitam-lis-putih-besar-jumbo-hitam-38?whid=0,,tokopedia
613483b08c685a89e2a48855,"(2PCS = 1KG) VANS_99 OLDSKOOL HITAM NAVY MAROON GREY GRADE ORI PREMIUM",jackrepublic_sby,Surabaya,39900,58,1000,5,478,/(2PCS-1KG)-VANS_99-OLDSKOOL-HITAM-NAVY-MAROON-GREY-GRADE-ORI-PREMIUM-i.129226120.6161582085?ads_keyword=sepatu%20vans&adsid=24446270&campaignid=14488129&position=1,"Old Skool",shopee
613483b08c685a89e2a48858,"V4NS DOUBLE  POKSING  O.S OG PREMIUM IMPOR",kubilandri,"Kabupaten Tangerang",110000,45,352,5,201,/V4NS-DOUBLE-POKSING-O.S-OG-PREMIUM-IMPOR-i.70325473.4336876386?ads_keyword=wkdaelpmissisiht&adsid=17689934&campaignid=7115206&position=4,,shopee
613483b08c685a89e2a48859,"Sepatu Sneakers Old Skool Black White Vns slip on Motif catur bw Vans SK Delapan Low COD",nur_azizah_colection,"Kabupaten Tangerang",49400,5,997,5,452,/Sepatu-Sneakers-Old-Skool-Black-White-Vns-slip-on-Motif-catur-bw-Vans-SK-Delapan-Low-COD-i.347545594.4978724765?position=5,Slip-on,shopee
613483b08c685a89e2a4885a,"SEPATU VANS OLD SKOOL (GREED ORI)",wawan_shop,"Kabupaten Tangerang",48750,35,87000,5,38000,/SEPATU-VANS-OLD-SKOOL-(GREED-ORI)-i.18018345.6549373661?position=6,"Old Skool",shopee
613483b08c685a89e2a4885b,"COD PROMO SEPATU VANS OLDSKOOL HITAM MARON NAVY SIZE 36-44 TERLARIS",yostar.shoes,"Kabupaten Mojokerto",79800,16,59000,5,34000,/COD-PROMO-SEPATU-VANS-OLDSKOOL-HITAM-MARON-NAVY-SIZE-36-44-TERLARIS-i.328342490.3278083873?position=8,"Old Skool",shopee
