product_name,shop_name,location,price,discount,amount_sold,rating,no_of_rating,link_product
Sepatu Vans Old Skool V36CL+ Checkerboard Japan Market Original BNIB!,Toko Adidas Original,Kota Tangerang Selatan,Rp649.000,,Terjual 256,4.7,(102 ulasan),https://www.tokopedia.com/tokoadidasori/sepatu-vans-old-skool-v36cl-checkerboard-japan-market-original-bnib?whid=0
SEPATU PRIA VANS OLD SCHOOL SNEAKERS HITAM SEKOLAH KERJA MURAH - 36,NAF SHOES,Kab. Tangerang,Rp58.200,,Terjual 312,4.7,(173 ulasan),https://www.tokopedia.com/nafshoes888/sepatu-pria-vans-old-school-sneakers-hitam-sekolah-kerja-murah-36?whid=0
"Vans Old Skool Full White Sepatu Pria Sneakers Full Putih Harga Grosir - Putih, 38",AriefShop,Kab. Tangerang,Rp68.900,,Terjual 3,4.5,(2 ulasan),https://www.tokopedia.com/ariefshop/vans-old-skool-full-white-sepatu-pria-sneakers-full-putih-harga-grosir-putih-38?whid=0
SEPATU VANS SK8 HI SNEAKERS TINGGI HITAM POLOS - 40,NAF SHOES,Kab. Tangerang,Rp65.000,,Terjual 99,4.9,(66 ulasan),https://www.tokopedia.com/nafshoes888/sepatu-vans-sk8-hi-sneakers-tinggi-hitam-polos-40?whid=0
"Sepatu Vans Old Skool Black White Premium Waffle IFC BNIB - Hitam, 37",caki,Kab. Tangerang,Rp180.000,,Terjual 209,4.7,(106 ulasan),https://www.tokopedia.com/trashbag/sepatu-vans-old-skool-black-white-premium-waffle-ifc-bnib-hitam-37?whid=0
Sepatu Vans UltraRange Rapidweld Original,70stores,Jakarta Pusat,Rp1.449.000,,Terjual 3,5,(2 ulasan),https://www.tokopedia.com/70stores/sepatu-vans-ultrarange-rapidweld-original?whid=0
"sepatu ukuran 47 46 45 44 Vans old skool hitam ukuran besar Jumbo ! - Hitam, 36",pusat sepatu sneakers 018,Kab. Tangerang,Rp55.000,,Terjual 6,4,(3 ulasan),https://www.tokopedia.com/pusatsepatusneakers/sepatu-ukuran-47-46-45-44-vans-old-skool-hitam-ukuran-besar-jumbo-hitam-36?whid=0
Original Vans Comfycush old skool Black Sepatu Sneakers - 36,nugroho store,Jakarta Selatan,Rp799.000,,Terjual 28,5,(12 ulasan),https://www.tokopedia.com/tokoariqkamil/original-vans-comfycush-old-skool-black-sepatu-sneakers-36?whid=0
"SEPATU VANS AUTHENTIC CLASIC BLACK WHITE GRADE ORIGINAL - aut clasics bw, 36",4SDOnlineshop,Jakarta Selatan,Rp109.250,5%,Terjual 35,4.5,(30 ulasan),https://www.tokopedia.com/4sdonlineshop/sepatu-vans-authentic-clasic-black-white-grade-original-aut-clasics-bw-36?whid=0
Sepatu Kolaborasi VANS x MOONEYES - 7.5,Mooneyes Jakarta,Jakarta Selatan,Rp2.300.000,,Terjual 9,5,(5 ulasan),https://www.tokopedia.com/mooneyesjakarta/sepatu-kolaborasi-vans-x-mooneyes-7-5?whid=0
Sepatu Vans Old Skool Full White / Putih Full Murah,Toko All Star Murah,Kota Tangerang Selatan,Rp129.000,,Terjual 118,4.3,(46 ulasan),https://www.tokopedia.com/tokoallstarmurah/sepatu-vans-old-skool-full-white-putih-full-murah?whid=0
Sepatu Vans Authentic Classic True White BNIB Original Premium,sneaker official member,Kota Bandung,Rp269.000,,Terjual 19,4.3,(12 ulasan),https://www.tokopedia.com/sneakerofficial/sepatu-vans-authentic-classic-true-white-bnib-original-premium?whid=0
outsole vans | outsol | tapak vans  | bawahan sepatu vans,Moortee,Kota Depok,Rp35.000,,Terjual 14,5,(1 ulasan),https://www.tokopedia.com/moortee/outsole-vans-outsol-tapak-vans-bawahan-sepatu-vans?whid=0
THE GOODS DEPT - VANS UA ERA BLACK - 37,The Goods Dept,Jakarta Selatan,Rp629.100,10%,Terjual 3,5,(2 ulasan),https://www.tokopedia.com/thegoodsdept/the-goods-dept-vans-ua-era-black-37?whid=0
"Sepatu Sneakers Vans Era Authentic Black White Hitam Putih Premium - Hitam, 37",VJ CONVERSE.ID,Jakarta Timur,Rp89.900,,Terjual 110,4.5,(50 ulasan),https://www.tokopedia.com/vjconverseid/sepatu-sneakers-vans-era-authentic-black-white-hitam-putih-premium-hitam-37?whid=0
